# Velocity_ms, Gamma
1.000000000000000000e+03, 1.000000000005563106e+00
1.200000000000000000e+04, 1.000000000801067879e+00
2.300000000000000000e+04, 1.000000002942811328e+00
3.400000000000000000e+04, 1.000000006430793897e+00
4.500000000000000000e+04, 1.000000011265015365e+00
5.600000000000000000e+04, 1.000000017445475509e+00
6.700000000000000000e+04, 1.000000024972174995e+00
7.800000000000000000e+04, 1.000000033845113601e+00
8.900000000000000000e+04, 1.000000044064291327e+00
1.000000000000000000e+05, 1.000000055629708395e+00
